ServerName,DiskUsage_MNT,DiskUsage_Root
Company3,50,50
abb-hit,80,50
abbshuttle,17,34
abp,67,33
aktourstravels,25,30
alorica,78,33
aml,72,32
apollo,81,37
app,73,43
atandt,77,37
baghirathi,80,41
baxter,65,33
beckman,70,32
betanxt,41,34
boomi-logistics,36,57
boyd,40,32
cadence,69,40
calyx,73,31
carclubs,24,56
citco,59,53
citcopune,74,52
cleanharbors,80,44
cmacgm,76,40
cme,71,36
corrohealth,75,34
danfoss,79,38
demogcp,23,58
diebold,78,33
diya,73,42
ecocars,79,62
eminds,61,32
eurofins,ferrilabs,22,43
fiserv,73,35
flutter,55,40
forvia,37,35
foundever,71,31
fujitsu,77,68
gia,77,33
giriraj,79,34
go,73,44
googlepune,73,49
googlestg,5,58
google-taiwan,5,57
groupon,67,66
guardian,77,43
hp,72,72
i247,68,67
icabs,69,34
inceedo,44,40
infants,24,35
infinite,23,54
intel,66,62
iopex,44,48
iqvia,75,39
jananitravels,66,40
jlr,44,31
linkgroup,53,33
maersk-mumbai,76,77
marlabs,71,36
mltcabs,22,32
nielsen,40,31
omegav2,69,53
opentext,73,38
parexel,66,34
poonatravels,48,30
pscorp,78,33
quantiphi,15,36
questdiagnostics,42,32
reventics,77,35
routing-server,26,61
russellinvestments,75,32
safetraxv3-new2,57,87
sapariba,69,31
sap-concur,37,31
sapv2,78,54
shriram-sb,66,49
siemens,77,36
slk,80,67
sodexo,13,33
splunk,sprinklr,69,35
sreetravels,39,33
srstravels,40,34
sscfintech,73,33
ssnc,76,36
stagingtest,11,58
taxi68,11,29
technosoft,73,44
tescov2,68,60
testinstance,88,77
test-redhat,26,36
tetrapak,43,34
toast,70,32
tomtom-wti,74,32
toweresearch,75,34
travel-team,62,33
trimurticars,37,45
unitedlex,71,39
ust,14,37
ventrahealth,76,34
vfislkstg,78,34
wns,22,43
wns-data-sync,25,56
wns-live,81,69
wunderman,65,34
xactly,37,43
xpo,54,69
zomato,77,33
demo,70,62
guidehouse,75,60
Hitachi,55,62
Lucid,61,36
medline,59,25
shell,78,47
shellstg,63,35
